,0
0,4.0
1,3.0
2,3.0
3,0.0
4,4.0
5,0.0
6,0.0
7,2.0
8,4.0
9,2.0
10,4.0
11,2.0
12,0.0
13,0.0
14,0.0
15,0.0
16,3.0
17,0.0
18,4.0
19,0.0
20,3.0
21,0.0
22,1.0
23,0.0
24,0.0
25,1.0
26,3.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.0
33,0.0
34,3.0
35,0.0
36,3.0
37,3.0
38,3.0
39,1.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,3.0
46,4.0
47,2.0
48,1.0
49,0.0
50,0.0
51,0.0
52,0.0
53,1.0
54,2.0
55,2.0
56,0.0
57,4.0
58,0.0
59,4.0
60,0.0
61,2.0
62,4.0
63,0.0
64,2.0
65,2.0
66,0.0
67,0.0
68,0.0
69,4.0
70,4.0
71,2.0
72,0.0
73,2.0
74,0.0
75,3.0
76,0.0
77,1.0
78,3.0
79,3.0
80,2.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,1.0
88,4.0
89,2.0
90,2.0
91,0.0
92,0.0
93,2.0
94,0.0
95,2.0
96,2.0
97,0.0
98,1.0
99,3.0
100,4.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,3.0
107,1.0
108,0.0
109,0.0
110,0.0
111,0.0
112,2.0
113,2.0
114,3.0
115,0.0
116,0.0
117,0.0
118,3.0
119,2.0
120,1.0
121,0.0
122,1.0
123,2.0
124,4.0
125,0.0
126,2.0
127,0.0
128,0.0
129,0.0
130,0.0
131,2.0
132,0.0
133,4.0
134,0.0
135,2.0
136,2.0
137,3.0
138,0.0
139,2.0
140,0.0
141,2.0
142,2.0
143,1.0
144,0.0
145,4.0
146,3.0
147,3.0
148,2.0
149,3.0
150,0.0
151,2.0
152,3.0
153,0.0
154,3.0
155,0.0
156,2.0
157,3.0
158,0.0
159,0.0
160,0.0
161,2.0
162,2.0
163,2.0
164,0.0
165,1.0
166,3.0
167,0.0
168,0.0
169,1.0
170,0.0
171,2.0
172,0.0
173,3.0
174,0.0
175,0.0
176,3.0
177,3.0
178,0.0
179,3.0
180,0.0
181,1.0
182,0.0
183,0.0
184,1.0
185,3.0
186,0.0
187,3.0
188,1.0
189,0.0
190,0.0
191,2.0
192,0.0
193,0.0
194,0.0
195,3.0
196,0.0
197,0.0
198,0.0
199,1.0
200,0.0
201,4.0
202,3.0
203,0.0
204,0.0
205,0.0
206,3.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,1.0
213,2.0
214,0.0
215,3.0
216,0.0
217,0.0
218,4.0
219,0.0
220,0.0
221,4.0
222,4.0
223,1.0
224,0.0
225,3.0
226,4.0
227,0.0
228,1.0
229,0.0
230,3.0
231,1.0
232,0.0
233,1.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,1.0
240,0.0
241,4.0
242,0.0
243,1.0
244,1.0
245,0.0
246,3.0
247,0.0
248,3.0
249,4.0
250,0.0
251,1.0
252,0.0
253,1.0
254,1.0
255,2.0
256,4.0
257,3.0
258,0.0
259,4.0
260,3.0
261,0.0
262,3.0
263,4.0
264,0.0
265,0.0
266,0.0
267,4.0
268,1.0
269,3.0
270,4.0
271,0.0
272,0.0
273,0.0
274,2.0
275,0.0
276,4.0
277,0.0
278,0.0
279,2.0
280,0.0
281,1.0
282,0.0
283,0.0
284,2.0
285,4.0
286,0.0
287,0.0
288,4.0
289,2.0
290,4.0
291,1.0
292,3.0
293,2.0
294,0.0
295,3.0
296,0.0
297,0.0
298,4.0
299,0.0
300,1.0
301,0.0
302,0.0
303,1.0
304,0.0
305,0.0
306,0.0
307,1.0
308,0.0
309,3.0
310,0.0
311,2.0
312,1.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,2.0
320,0.0
321,3.0
322,0.0
323,0.0
324,0.0
325,0.0
326,3.0
327,4.0
328,0.0
329,0.0
330,4.0
331,0.0
332,0.0
333,3.0
334,1.0
335,0.0
336,2.0
337,0.0
338,2.0
339,0.0
340,2.0
341,0.0
342,0.0
343,0.0
344,3.0
