,0
0,2.0
1,3.0
2,0.0
3,0.0
4,2.0
5,2.0
6,3.0
7,0.0
8,0.0
9,1.0
10,0.0
11,0.0
12,0.0
13,0.0
14,3.0
15,2.0
16,3.0
17,0.0
18,0.0
19,2.0
20,2.0
21,0.0
22,1.0
23,2.0
24,0.0
25,0.0
26,4.0
27,0.0
28,2.0
29,4.0
30,1.0
31,2.0
32,0.0
33,1.0
34,1.0
35,2.0
36,4.0
37,0.0
38,0.0
39,4.0
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,4.0
48,3.0
49,0.0
50,0.0
51,1.0
52,0.0
53,1.0
54,0.0
55,3.0
56,0.0
57,0.0
58,0.0
59,2.0
60,0.0
61,0.0
62,4.0
63,0.0
64,0.0
65,3.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,2.0
73,0.0
74,2.0
75,0.0
76,0.0
77,0.0
78,2.0
79,0.0
80,2.0
81,0.0
82,1.0
83,0.0
84,1.0
85,4.0
86,0.0
87,1.0
88,0.0
89,0.0
90,2.0
91,1.0
92,0.0
93,2.0
94,4.0
95,0.0
96,3.0
97,0.0
98,0.0
99,0.0
100,1.0
101,4.0
102,4.0
103,2.0
104,3.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,2.0
111,0.0
112,0.0
113,3.0
114,0.0
115,0.0
116,4.0
117,2.0
118,4.0
119,0.0
120,4.0
121,0.0
122,0.0
123,4.0
124,0.0
125,4.0
126,3.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,2.0
135,0.0
136,0.0
137,3.0
138,0.0
139,0.0
140,1.0
141,0.0
142,3.0
143,0.0
144,3.0
145,0.0
146,0.0
147,3.0
148,0.0
149,1.0
150,2.0
151,3.0
152,0.0
153,0.0
154,3.0
155,4.0
156,3.0
157,4.0
158,0.0
159,0.0
160,0.0
161,4.0
162,1.0
163,0.0
164,0.0
165,3.0
166,4.0
167,0.0
168,0.0
169,1.0
170,0.0
171,3.0
172,2.0
173,0.0
174,0.0
175,3.0
176,0.0
177,0.0
178,0.0
179,0.0
180,3.0
181,4.0
182,0.0
183,4.0
184,0.0
185,0.0
186,4.0
187,0.0
188,1.0
189,0.0
190,0.0
191,3.0
192,0.0
193,0.0
194,0.0
195,1.0
196,0.0
197,0.0
198,3.0
199,3.0
200,0.0
201,4.0
202,0.0
203,3.0
204,2.0
205,2.0
206,4.0
207,0.0
208,3.0
209,3.0
210,2.0
211,0.0
212,0.0
213,3.0
214,3.0
215,3.0
216,3.0
217,1.0
218,0.0
219,2.0
220,0.0
221,2.0
222,4.0
223,0.0
224,3.0
225,0.0
226,0.0
227,2.0
228,2.0
229,1.0
230,3.0
231,1.0
232,1.0
233,0.0
234,0.0
235,0.0
236,0.0
237,3.0
238,0.0
239,3.0
240,0.0
241,0.0
242,0.0
243,4.0
244,1.0
245,4.0
246,0.0
247,0.0
248,1.0
249,2.0
250,0.0
251,0.0
252,1.0
253,2.0
254,0.0
255,0.0
256,2.0
257,2.0
258,3.0
259,0.0
260,2.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,3.0
272,4.0
273,1.0
274,2.0
275,0.0
276,0.0
277,1.0
278,2.0
279,3.0
280,3.0
281,1.0
282,0.0
283,3.0
284,0.0
285,1.0
286,0.0
287,0.0
288,0.0
289,3.0
290,4.0
291,3.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,2.0
298,0.0
299,2.0
300,3.0
301,0.0
302,0.0
303,2.0
304,0.0
305,0.0
306,2.0
307,4.0
308,4.0
309,1.0
310,2.0
311,1.0
312,3.0
313,3.0
314,2.0
315,1.0
316,4.0
317,0.0
318,3.0
319,0.0
320,0.0
321,0.0
322,0.0
323,2.0
324,0.0
325,0.0
326,0.0
327,4.0
328,3.0
329,1.0
330,0.0
331,0.0
332,0.0
333,1.0
334,0.0
335,2.0
336,4.0
337,0.0
338,1.0
339,3.0
340,0.0
341,1.0
342,3.0
343,2.0
344,2.0
